id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7202,HU,Budapest,Line 4,2006,2014,7.4,7.4,10,452000,HUF,3579.84
7203,FR,Toulouse,Line 3,2021,2025,27,16.2,21,2670,EUR,3471
7208,IT,Turin,Line 1 phases 1-3,2000,2011,13.2,13.2,21,1046,EUR,1307.625
7209,IT,Turin,Line 1 south (phase 4),2012,2021,1.9,1.9,2,194,EUR,251.55
7210,IT,Turin,Line 1 west (phase 5),2018,2024,3.4,3.4,4,304,EUR,395.59
7211,FI,Helsinki,West Metro,2009,2017,13.5,13.5,8,1186,EUR,1541.8
7216,FI,Helsinki,Ring Rail Line,2009,2015,18,8,5,774,EUR,1005.94
7217,SE,Stockholm,Arenastaden,2020,2030,4.1,4.1,2,4700,SEK,540.5
7218,SE,Stockholm,Nacka/Söderort,2020,2030,11.5,11.5,6,14400,SEK,1656
7219,SE,Stockholm,Barkarby,2020,2026,3.3,3.3,2,3300,SEK,379.5
7224,SE,Stockholm,Citybanan,2007,2017,7.4,6,2,16800,SEK,1890
7225,SE,Malmo,Citytunneln,2005,2010,17,6,3,8450,SEK,895.7
7226,UK,London,Northern Line Extension,2015,2021,3.2,3.2,2,1200,GBP,1764
7227,MX,Mexico City,Line 12,2008,2012,24.5,10.5,20,47906,MXN,6227.78
7232,TW,Taipei,Wanda Line Phase 2,2021,2028,13.3,2.8,13,55530,TWD,3776.04
7233,IT,Milan,Line 5 phase 1,2007,2013,6.1,6.1,9,557,EUR,724.1
7234,IT,Milan,Line 5 phase 2,2010,2015,6.5,6.5,10,796,EUR,1034.8
7235,IT,Milan,Line 4,2015,2023,15.2,15.2,21,1697,EUR,2205.71
7240,FR,Paris,GPX,2017,2030,200,160,68,35080,EUR,45604
7241,IT,Milan,Passante Railway,1984,2008,13,7.8,10,915,EUR,1189.5
7242,VN,Hanoi,Line 3,2010,2013,12.5,4,12,36000000,VND,4536
7243,VN,Hanoi,Line 2,2011,2020,11.5,8.5,12,19555000,VND,2463.93
7248,KR,Seoul,Sinbundang,2005,2011,17.3,17.3,6,1169000,KRW,1519.7
7249,KR,Seoul,Sinbundang phase 2,2011,2018,12.8,12.8,7,1025500,KRW,1333.15
7250,MX,Guadalajara,Line 3,2014,2020,21.5,5.4,18,31500,MXN,3339
7251,DE,Leipzig,City Tunnel,2003,2013,3.6,3.6,4,960,EUR,1248
7256,IT,Rome,Line B1 extension,2010,2015,3.9,3.9,3,527,EUR,685.49
7257,IT,Rome,Line C - section T6a,2007,2013,2.8,2.8,4,399,EUR,518.7
7258,IT,Rome,Line C - section T4-5,2007,2013,7.3,7.3,9,1090,EUR,1417
7259,IT,Rome,Line C - section T3,2013,2023,2.8,2.8,2,735,EUR,955.5
7264,DE,Berlin,U55,2004,2009,1.8,1.8,3,320,EUR,416
7265,DE,Berlin,U5-U55 connection,2010,2020,2.2,2.2,3,525,EUR,682.5
7266,BE,Brussels,Line 3,2020,2028,4.4,4.4,7,900,EUR,1170
7267,DK,Copenhagen,City Circle Line,2009,2019,15.5,15.5,17,25300,DKK,3491.4
7272,NO,Oslo,Løren Line,2013,2016,1.6,1.6,1,1330,NOK,142.31
7273,NO,Oslo,Fornebu Line,2020,2027,8.2,8.2,6,16000,NOK,1600
7274,AU,Sydney,Metro City & SW,2017,2024,30,15.3,7,15500,AUD,10695
7275,AU,Sydney,Metro NW,2013,2019,36,15.1,13,7800,AUD,5382
7280,AU,Melbourne,Metro Tunnel,2018,2025,9,9,5,11000,AUD,7590
7281,SG,Singapore,Downtown MRT Line,2008,2017,41.9,41.9,34,21000,SGD,24780
7282,SG,Singapore,Thomson MRT Line,2014,2024,43,43,32,25000,SGD,28250
7283,CA,Toronto,Eglinton Crosstown,2011,2022,19,10,25,5300,CAD,4399
7288,IN,Mumbai,Monorail,2009,2019,20.2,0,17,30000,INR,1620
7289,IN,Mumbai,Line 3,2016,2022,33.5,33.5,27,320000,INR,15040
7290,IN,Mumbai,Line 2A,2016,2021,18.6,0,17,64100,INR,3076.8
7291,IN,Mumbai,Line 2B,2018,2023,23.5,0,22,109860,INR,5163.42
7296,IN,Mumbai,Line 4,2018,2022,32.3,0,32,145490,INR,6838.03
7297,IN,Mumbai,Line 4A,2019,2022,2.7,0,2,7860,INR,377.28
7298,IN,Mumbai,Line 5,2017,2024,24.9,0,16,84165,INR,3955.755
7299,IN,Mumbai,Line 6,2017,2022,14.5,0,13,55670,INR,2783.5
7304,IN,Mumbai,Line 7,2016,2021,16.5,0,16,62080,INR,2979.84
7305,IN,Mumbai,Line 7A + 9,2019,2022,13.5,2.2,11,65180,INR,3063.46
7306,IN,Mumbai,Line 10,2020,2024,9.2,0.7,4,38210,INR,1834.08
7307,IN,Mumbai,Line 11,2020,2026,12.8,8.8,10,70850,INR,3400.8
7312,IN,Mumbai,Line 12,2020,2026,20.8,0,17,47380,INR,2274.24
7313,GR,Athens,Line 4,2019,2027,12.8,12.8,15,1328,EUR,1726.4
7314,GR,Athens,Line 3 to Piraeus,2012,2021,7.6,7.6,6,742,EUR,964.6
7315,GR,Thessaloniki,Main line,2006,2020,9.5,9.5,13,1112,EUR,1445.6
7320,GR,Thessaloniki,Kalamaria Extension,2013,2021,4.8,4.8,5,567,EUR,737.1
7321,KR,Busan,Line 1 extension,2009,2017,8,8,6,959000,KRW,1102.85
7322,KR,Seoul,Gimpo Urban Railway,2014,2019,23.7,23.7,10,1655300,KRW,1920.148
7323,KR,Seoul,Line 7 extension,2014,2021,3.9,3.9,2,432100,KRW,475.31
7328,KR,Seoul,2020s program,2020,2028,71,71,53,7230200,KRW,7953.22
